,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
52,2021-09-17,832.4979247120318,704.6584320038745,924.9736933510933,832.4979247120318,832.4979247120318,-19.723812365602285,-19.723812365602285,-19.723812365602285,-19.723812365602285,-19.723812365602285,-19.723812365602285,0.0,0.0,0.0,812.7741123464295
53,2021-09-20,842.375552257486,719.4808058176344,945.7480273131085,842.375552257486,842.375552257486,-3.6475952904207833,-3.6475952904207833,-3.6475952904207833,-3.6475952904207833,-3.6475952904207833,-3.6475952904207833,0.0,0.0,0.0,838.7279569670652
54,2021-09-21,845.6680947726372,728.3631518163205,951.807846200529,845.6680947726372,845.6680947726372,-8.939251645255595,-8.939251645255595,-8.939251645255595,-8.939251645255595,-8.939251645255595,-8.939251645255595,0.0,0.0,0.0,836.7288431273817
55,2021-09-22,848.9606372877887,731.22470219865,959.3583898352904,848.9606372877887,848.9606372877887,-6.863497168390054,-6.863497168390054,-6.863497168390054,-6.863497168390054,-6.863497168390054,-6.863497168390054,0.0,0.0,0.0,842.0971401193987
56,2021-09-23,852.25317980294,731.2696640648147,946.5870407951747,852.25317980294,852.25317980294,-15.316795300323498,-15.316795300323498,-15.316795300323498,-15.316795300323498,-15.316795300323498,-15.316795300323498,0.0,0.0,0.0,836.9363845026165
57,2021-09-24,855.5459153927849,726.8191401795386,947.5932228586406,855.5459153927849,855.5459153927849,-19.72381236558566,-19.72381236558566,-19.72381236558566,-19.72381236558566,-19.72381236558566,-19.72381236558566,0.0,0.0,0.0,835.8221030271992
58,2021-09-27,865.4241221623198,743.4768011939751,967.4260182712294,865.4241221623198,865.4241221623198,-3.6475952904165596,-3.6475952904165596,-3.6475952904165596,-3.6475952904165596,-3.6475952904165596,-3.6475952904165596,0.0,0.0,0.0,861.7765268719032
59,2021-09-28,868.7168577521646,751.1197816843949,969.5035803736644,868.7168577521646,868.7168577521646,-8.939251645270431,-8.939251645270431,-8.939251645270431,-8.939251645270431,-8.939251645270431,-8.939251645270431,0.0,0.0,0.0,859.7776061068942
60,2021-09-29,872.0095933420095,753.0474257660583,972.8279367820088,872.0095933420095,872.0095933420095,-6.863497168398305,-6.863497168398305,-6.863497168398305,-6.863497168398305,-6.863497168398305,-6.863497168398305,0.0,0.0,0.0,865.1460961736111
61,2021-09-30,875.3023289318545,752.9939097912625,971.7323045214331,875.3023289318545,875.3023289318545,-15.31679530034201,-15.31679530034201,-15.31679530034201,-15.31679530034201,-15.31679530034201,-15.31679530034201,0.0,0.0,0.0,859.9855336315125
62,2021-10-01,878.5950645216993,746.601151012219,968.9142996932769,878.5950645216993,878.5950645216993,-19.723812365556395,-19.723812365556395,-19.723812365556395,-19.723812365556395,-19.723812365556395,-19.723812365556395,0.0,0.0,0.0,858.871252156143
